Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo,earlier,2021,1.2,single,30,6,0,0,25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo,earlier,2021,1.2,single,30,1,4,120,25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4,earlier,2014,6,single,30,4,0,0,25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4,earlier,2014,6,single,30,1,4,120,25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-3,earlier,2014,6,single,30,1,8,120,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-3,earlier,2014,6,single,0,0,8,370,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ3N,earlier,2021,0.8,single,30,1,4,120,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1 Daytime,earlier,2015,0.5,single,30,1,4,120,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView NEO-1,earlier,2021,1,single,30,1,4,120,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-2,earlier,2018,1,single,40,1,4,160,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,single,40,1,0,0,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,single,40,4,0,0,25,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,single,40,1,4,160,25,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3,earlier,2009,6,single,40,1,8,160,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,single,50,1,0,0,25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,single,50,4,0,0,25,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4,earlier,2009,6,single,50,1,4,200,25,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
